A		SACRAMENTO
B		DEER_CR_NR_SMARTVILLE
C		FLOW-UNREG
E		
F		ALT-AUGMENTED-MERGED
Units		CFS
Type		PER-AVER
448	22Dec1892	576.0
449	23Dec1892	2856.0
450	24Dec1892	4605.3
451	25Dec1892	4517.3
452	26Dec1892	4605.3
453	27Dec1892	4473.3
454	28Dec1892	2990.5
455	29Dec1892	2616.0
456	30Dec1892	1960.0
457	31Dec1892	1620.0
458	01Jan1893	1384.0
459	02Jan1893	1288.0
460	03Jan1893	922.4
461	04Jan1893	855.2
462	05Jan1893	922.4
463	06Jan1893	868.0
464	07Jan1893	778.4
465	08Jan1893	728.0
466	09Jan1893	704.0
467	10Jan1893	692.0
468	11Jan1893	680.0
469	12Jan1893	680.0
470	13Jan1893	620.0
471	14Jan1893	632.0
472	15Jan1893	778.4
473	16Jan1893	1036.0
474	17Jan1893	842.4
475	18Jan1893	752.8
476	19Jan1893	704.0
477	20Jan1893	668.0
478	21Jan1893	632.0
479	22Jan1893	608.8
480	23Jan1893	575.2
481	24Jan1893	575.2
482	25Jan1893	586.4
483	26Jan1893	728.0
484	27Jan1893	1880.0
485	28Jan1893	816.8
486	29Jan1893	855.2
487	30Jan1893	816.8
488	31Jan1893	765.6
489	01Feb1893	680.0
490	02Feb1893	632.0
491	03Feb1893	963.2
492	04Feb1893	2000.0
493	05Feb1893	1580.0
494	06Feb1893	1020.8
495	07Feb1893	855.2
496	08Feb1893	1096.8
497	09Feb1893	1020.8
498	10Feb1893	976.8
499	11Feb1893	963.2
500	12Feb1893	1660.0
501	13Feb1893	1542.0
502	14Feb1893	1051.2
503	15Feb1893	991.2
504	16Feb1893	936.0
505	17Feb1893	908.8
506	18Feb1893	816.8
507	19Feb1893	791.2
508	20Feb1893	752.8
509	21Feb1893	728.0
510	22Feb1893	728.0
511	23Feb1893	716.0
512	24Feb1893	704.0
513	25Feb1893	692.0
514	26Feb1893	680.0
515	27Feb1893	680.0
516	28Feb1893	680.0
517	01Mar1893	668.0
518	02Mar1893	656.0
519	03Mar1893	680.0
520	04Mar1893	680.0
521	05Mar1893	881.6
522	06Mar1893	765.6
523	07Mar1893	728.0
524	08Mar1893	1740.0
525	09Mar1893	1434.0
526	10Mar1893	1051.2
527	11Mar1893	3174.2
528	12Mar1893	1700.0
529	13Mar1893	1240.0
530	14Mar1893	1081.6
531	15Mar1893	1020.8
532	16Mar1893	1224.0
533	17Mar1893	1384.0
534	18Mar1893	2150.0
535	19Mar1893	2150.0
536	20Mar1893	1800.0
537	21Mar1893	2968.0
538	22Mar1893	2106.0
539	23Mar1893	1700.0
540	24Mar1893	1660.0
541	25Mar1893	1452.0
542	26Mar1893	1368.0
543	27Mar1893	1400.0
544	28Mar1893	1416.0
545	29Mar1893	1488.0
546	30Mar1893	1600.0
547	31Mar1893	2106.0
548	01Apr1893	2000.0
549	02Apr1893	2106.0
550	03Apr1893	2020.0
551	04Apr1893	1740.0
552	05Apr1893	1900.0
553	06Apr1893	3769.3
554	07Apr1893	3052.0
555	08Apr1893	2566.0
556	09Apr1893	1880.0
557	10Apr1893	1880.0
558	11Apr1893	1580.0
559	12Apr1893	1470.0
560	13Apr1893	1336.0
561	14Apr1893	1224.0
562	15Apr1893	1144.0
563	16Apr1893	1112.0
564	17Apr1893	1081.6
565	18Apr1893	1005.6
566	19Apr1893	963.2
567	20Apr1893	949.6
568	21Apr1893	949.6
569	22Apr1893	1020.8
570	23Apr1893	1256.0
571	24Apr1893	1208.0
572	25Apr1893	1128.0
573	26Apr1893	1066.4
574	27Apr1893	1036.0
575	28Apr1893	1051.2
576	29Apr1893	991.2
577	30Apr1893	976.8
578	01May1893	936.0
579	02May1893	963.2
580	03May1893	991.2
581	04May1893	1005.6
582	05May1893	991.2
583	06May1893	949.6
584	07May1893	949.6
585	08May1893	1020.8
586	09May1893	1036.0
587	10May1893	1160.0
588	11May1893	1112.0
589	12May1893	1112.0
590	13May1893	1160.0
591	14May1893	1160.0
592	15May1893	1112.0
593	16May1893	1128.0
594	17May1893	1256.0
595	18May1893	1176.0
596	19May1893	1036.0
597	20May1893	976.8
598	21May1893	908.8
599	22May1893	908.8
600	23May1893	881.6
601	24May1893	881.6
602	25May1893	855.2
603	26May1893	829.6
604	27May1893	791.2
605	28May1893	765.6
606	29May1893	752.8
607	30May1893	740.0
608	31May1893	740.0
609	01Jun1893	740.0
610	02Jun1893	728.0
611	03Jun1893	728.0
612	04Jun1893	728.0
613	05Jun1893	704.0
614	06Jun1893	728.0
615	07Jun1893	716.0
616	08Jun1893	704.0
617	09Jun1893	704.0
618	10Jun1893	680.0
619	11Jun1893	680.0
620	12Jun1893	680.0
621	13Jun1893	656.0
622	14Jun1893	644.0
623	15Jun1893	608.8
624	16Jun1893	575.2
625	17Jun1893	552.8
626	18Jun1893	541.6
627	19Jun1893	519.2
628	20Jun1893	519.2
629	21Jun1893	508.0
630	22Jun1893	498.0
631	23Jun1893	478.0
632	24Jun1893	478.0
633	25Jun1893	478.0
634	26Jun1893	468.0
635	27Jun1893	458.0
636	28Jun1893	458.0
637	29Jun1893	458.0
638	30Jun1893	448.0
639	01Jul1893	438.0
640	02Jul1893	438.0
641	03Jul1893	428.0
642	04Jul1893	418.0
643	05Jul1893	418.0
644	06Jul1893	418.0
645	07Jul1893	418.0
646	08Jul1893	418.0
647	09Jul1893	418.0
648	10Jul1893	418.0
649	11Jul1893	418.0
650	12Jul1893	418.0
651	13Jul1893	418.0
652	14Jul1893	418.0
653	15Jul1893	418.0
654	16Jul1893	418.0
655	17Jul1893	418.0
656	18Jul1893	399.2
657	19Jul1893	399.2
658	20Jul1893	399.2
659	21Jul1893	399.2
660	22Jul1893	399.2
661	23Jul1893	399.2
662	24Jul1893	399.2
663	25Jul1893	390.4
664	26Jul1893	390.4
665	27Jul1893	381.6
666	28Jul1893	381.6
667	29Jul1893	381.6
668	30Jul1893	381.6
669	31Jul1893	381.6
670	01Aug1893	381.6
671	02Aug1893	372.8
672	03Aug1893	372.8
673	04Aug1893	372.8
674	05Aug1893	372.8
675	06Aug1893	372.8
676	07Aug1893	372.8
677	08Aug1893	364.0
678	09Aug1893	364.0
679	10Aug1893	364.0
680	11Aug1893	364.0
681	12Aug1893	364.0
682	13Aug1893	364.0
683	14Aug1893	364.0
684	15Aug1893	364.0
