A		DEER C
B		SMARTSVILLE CA
C		FLOW-UNREG
E		
F		CALC-NONEG
Units		CFS
Type		PER-AVER
1055	20Aug2008	0
1056	21Aug2008	0
1057	22Aug2008	0
1058	23Aug2008	0
1059	24Aug2008	0
1060	25Aug2008	0
1061	26Aug2008	0
1062	27Aug2008	0
1063	28Aug2008	0
1064	29Aug2008	0
1065	30Aug2008	0
1066	31Aug2008	0
1067	01Sep2008	0
1068	02Sep2008	0
1069	03Sep2008	0
1070	04Sep2008	0
1071	05Sep2008	0
1072	06Sep2008	0
1073	07Sep2008	0
1074	08Sep2008	0
1075	09Sep2008	0
1076	10Sep2008	0
1077	11Sep2008	0
1078	12Sep2008	0
1079	13Sep2008	0
1080	14Sep2008	0
1081	15Sep2008	0
1082	16Sep2008	0
1083	17Sep2008	0
1084	18Sep2008	0
1085	19Sep2008	0
1086	20Sep2008	0
1087	21Sep2008	0
1088	22Sep2008	0
1089	23Sep2008	0
1090	24Sep2008	0
1091	25Sep2008	0
1092	26Sep2008	0
1093	27Sep2008	0
1094	28Sep2008	0
1095	29Sep2008	0
1096	30Sep2008	0
1097	01Oct2008	0
1098	02Oct2008	0
1099	03Oct2008	0
1100	04Oct2008	0
1101	05Oct2008	0
1102	06Oct2008	0
1103	07Oct2008	0
1104	08Oct2008	0
1105	09Oct2008	0
1106	10Oct2008	32
1107	11Oct2008	40
1108	12Oct2008	16
1109	13Oct2008	43
1110	14Oct2008	69
1111	15Oct2008	99
1112	16Oct2008	129
1113	17Oct2008	143
1114	18Oct2008	147
1115	19Oct2008	146
1116	20Oct2008	136
1117	21Oct2008	139
1118	22Oct2008	103
1119	23Oct2008	67
1120	24Oct2008	63
1121	25Oct2008	33
1122	26Oct2008	0
1123	27Oct2008	0
1124	28Oct2008	0
1125	29Oct2008	0
1126	30Oct2008	7
1127	31Oct2008	121
1128	01Nov2008	61
1129	02Nov2008	112
1130	03Nov2008	91
1131	04Nov2008	48
1132	05Nov2008	42
1133	06Nov2008	25
1134	07Nov2008	30
1135	08Nov2008	20
1136	09Nov2008	22
1137	10Nov2008	20
1138	11Nov2008	20
1139	12Nov2008	17
1140	13Nov2008	20
1141	14Nov2008	10
1142	15Nov2008	16
1143	16Nov2008	12
1144	17Nov2008	11
1145	18Nov2008	7
1146	19Nov2008	12
1147	20Nov2008	10
1148	21Nov2008	13
1149	22Nov2008	10
1150	23Nov2008	10
1151	24Nov2008	13
1152	25Nov2008	16
1153	26Nov2008	10
1154	27Nov2008	13
1155	28Nov2008	16
1156	29Nov2008	10
1157	30Nov2008	13
1158	01Dec2008	10
1159	02Dec2008	10
1160	03Dec2008	9
1161	04Dec2008	10
1162	05Dec2008	12
1163	06Dec2008	12
1164	07Dec2008	15
1165	08Dec2008	7
1166	09Dec2008	15
1167	10Dec2008	10
1168	11Dec2008	12
1169	12Dec2008	17
1170	13Dec2008	36
1171	14Dec2008	40
1172	15Dec2008	23
1173	16Dec2008	24
1174	17Dec2008	39
1175	18Dec2008	43
1176	19Dec2008	29
1177	20Dec2008	69
1178	21Dec2008	70
1179	22Dec2008	111
1180	23Dec2008	105
1181	24Dec2008	205
1182	25Dec2008	286
1183	26Dec2008	59
1184	27Dec2008	0
1185	28Dec2008	36
1186	29Dec2008	36
1187	30Dec2008	34
1188	31Dec2008	31
1189	01Jan2009	82
1190	02Jan2009	51
1191	03Jan2009	42
1192	04Jan2009	40
1193	05Jan2009	37
1194	06Jan2009	41
1195	07Jan2009	41
1196	08Jan2009	40
1197	09Jan2009	34
1198	10Jan2009	32
1199	11Jan2009	36
1200	12Jan2009	34
1201	13Jan2009	37
1202	14Jan2009	34
1203	15Jan2009	39
1204	16Jan2009	32
1205	17Jan2009	33
1206	18Jan2009	34
1207	19Jan2009	32
1208	20Jan2009	34
1209	21Jan2009	101
1210	22Jan2009	92
1211	23Jan2009	130
1212	24Jan2009	116
1213	25Jan2009	95
1214	26Jan2009	75
